,Time,pp,pp_nr5,Accelerator,Brake,Steering,Speed,IN_Lat,IN_Long
1272,1271,0.00414212442857143,0.00404850469094097,39.9632195477387,-3.96690044572864,-7.54040212613065,74,1835.334837799,-5780.97331827136
1273,1272,0.003978529,0.00402478909708543,37.0384901243781,-3.86246842905473,-6.74046769910448,75.1144278606965,1835.34193462687,-5780.98359543284
1274,1273,0.00365359928571429,0.00400922646572478,35.5218640653266,-3.72123086326633,-7.84353535331658,76.4723618090452,1835.34915811055,-5780.99405767839
1275,1274,0.0036539635,0.00401319595445277,31.2185185920398,-2.82697860053731,-6.12673093333333,79.2437810945274,1835.35649235821,-5781.00468528358
1276,1275,0.00419678828571429,0.0040324808846694,29.7465848241206,-3.83437754321608,-7.17013786130653,79.5628140703518,1835.36392209045,-5781.01543474372
1277,1276,0.00408464575,0.00405951100516585,29.6953727512438,-4.52107576169154,-7.9301097238806,80.2039800995025,1835.37141949254,-5781.02626710448
1278,1277,0.0036192984,0.00408650554154216,29.7072671105528,-5.44820676030151,-7.45712847638191,80,1835.37896463317,-5781.03715501508
1279,1278,0.004716994,0.00411132497170264,29.6593016567164,-5.04015806094527,-8.14197949452736,81.910447761194,1835.38655179104,-5781.04807367164
1280,1279,0.00416299857142857,0.00413870136908714,28.9460564020101,-5.8945011839196,-8.95247654824121,81.0402010050251,1835.39413655276,-5781.05900834171
1281,1280,0.004463928375,0.00415856948236736,28.9552894527363,-5.36559924975124,-9.10605542885572,81,1835.40168492537,-5781.06992940299
1282,1281,0.0046689152,0.00416324267483962,28.924579879397,-5.63285366934673,-8.91701304874372,81,1835.40919377889,-5781.08080236181
1283,1282,0.00400698725,0.00416248620505333,28.9739501791045,-6.42212025373134,-9.42576883631841,81,1835.41665710448,-5781.09160468657
1284,1283,0.00375242014285714,0.00416714007070739,34.8503149045226,-4.33706363567839,-9.05409299547739,80.1557788944724,1835.42404935678,-5781.10231166834
1285,1284,0.00439607533333333,0.00417906162596958,38.122522358209,-3.73390279552239,-7.60590178109453,78.7661691542289,1835.43140053731,-5781.11293976119
1286,1285,0.00429000228571429,0.00419202248184543,34.6266254824121,-4.22618088743719,-8.85048634221106,79.4020100502513,1835.43874775879,-5781.12355374874
1287,1286,0.004605887875,0.00419426748440586,33.5955724726368,-4.95155116169154,-5.97683732706468,78.8805970149254,1835.44603674627,-5781.13414235821
1288,1287,0.00435685171428571,0.00417481649875171,33.1286542562814,-4.98201141959799,-5.93365909432161,78.4371859296482,1835.45328147739,-5781.14466063317
1289,1288,0.003911843125,0.004140836472722,30.0933545572139,-3.12249826567164,-6.39472472905473,77.4378109452736,1835.46048716418,-5781.15509310448
1290,1289,0.00390133271428571,0.00411041249953546,19.5421785778894,16.8971904219246,-6.05588232261307,76.7587939698493,1835.46762205025,-5781.16543588945
1291,1290,0.003916802,0.00409655923805817,19.5960188955224,31.5061737562189,-6.5228570800995,75.2388059701493,1835.47458752239,-5781.17551304478
1292,1291,0.00356434542857143,0.00410210301932038,19.7979218040201,33.647804638191,-6.74526170653266,73.6733668341708,1835.48125688442,-5781.18508175879
1293,1292,0.00414229675,0.00412573182263278,19.8913513731343,33.5638275671642,-8.83795037661691,69.6417910447761,1835.48753301493,-5781.19406531343
1294,1293,0.00417355214285714,0.00416199779331316,19.5008912964824,41.1992034120603,-11.2481496723618,64.964824120603,1835.493324,-5781.2023960402
1295,1294,0.004095035875,0.00420942354747835,19.461459960199,39.2616364079602,-12.2372580845771,59.6716417910448,1835.49856859702,-5781.20997623881
1296,1295,0.00394818414285714,0.00427019039714792,19.4323297638191,39.7553413165829,-10.0975958284422,54.6231155778895,1835.50320289447,-5781.21669087437
1297,1296,0.00432270125,0.00434199257620281,19.5788444328358,46.0146940497512,6.44644572506965,46.5820895522388,1835.50719692537,-5781.22249334328
1298,1297,0.005179414,0.00440504469699111,19.382160120603,35.0192023115578,41.8650496884422,40.4673366834171,1835.51065112563,-5781.22722467337
1299,1298,0.00545166271428571,0.00442833984665743,19.3159124029851,26.2719601940299,115.085450044776,34.7910447761194,1835.51414856716,-5781.2308821791
1300,1299,NA,NA,19.3088328542714,30.308802919598,134.275227487437,31.9246231155779,1835.51806980905,-5781.23311830151
1301,1300,NA,NA,23.9738205422886,3.00655596223881,145.109656268657,27.9601990049751,1835.52196671642,-5781.23370152239
1302,1301,NA,NA,37.350364080402,-4.22955344170854,169.886286080402,25.7537688442211,1835.52560460302,-5781.23282963819
1303,1302,NA,NA,43.8969613034826,-4.13365834378109,156.91891759204,25.089552238806,1835.52876110448,-5781.23043743284
1304,1303,NA,NA,47.0621861758794,-3.6579154980402,39.0054061738693,27.1608040201005,1835.53120480402,-5781.22651715578
1305,1304,NA,NA,45.7616564427861,-3.70950681567164,-6.76300362363184,30.3781094527363,1835.53335531343,-5781.22155629851
1306,1305,NA,NA,44.2423813819095,-4.2917440930402,-13.3153853497487,35.286432160804,1835.53582097487,-5781.21591536683
1307,1306,NA,NA,44.1643418308458,-3.55134084766169,-17.4288137323383,39.6915422885572,1835.53863841791,-5781.20970647761
1308,1307,0.00608179175,0.00441301301997986,43.0500096834171,-2.98901848376884,-15.7676740778894,43.5276381909548,1835.54181250251,-5781.20304039196
1309,1308,NA,NA,42.0173465621891,-4.76039185970149,-16.6624144925373,46.089552238806,1835.54531886567,-5781.19597901493
1310,1309,NA,NA,41.8586753517588,-4.61040083768844,-24.3370947889447,49.608040201005,1835.54916099497,-5781.1885781608
1311,1310,NA,NA,41.7866592587065,-4.9098999761194,-24.4229179597015,50.9651741293532,1835.55352337313,-5781.18097459701
1312,1311,NA,NA,41.9848984572864,-3.44268530039196,-6.99091086075377,54.894472361809,1835.55849135678,-5781.17332694472
1313,1312,NA,NA,41.0236866865672,-2.76883816146766,-1.13174177643284,57.2935323383085,1835.56390483582,-5781.16550767164
1314,1313,NA,NA,40.2833481356784,-2.62609098120603,-4.93020195302513,60,1835.56957471357,-5781.15740092462
1315,1314,0.003343169,0.00438301303114349,39.1873477114428,-2.2073633361791,-9.36429319552239,61.6915422885572,1835.57548071642,-5781.14904877612
1316,1315,0.0038904425,0.00432177163426752,37.3268789045226,-2.04023605778392,-6.87491422371859,64,1835.58171168844,-5781.14057538693
1317,1316,0.00412513871428571,0.00424236584225783,35.3340703980099,-1.15606099909552,-10.4913129318408,65.681592039801,1835.58823752239,-5781.13205220896
1318,1317,0.003823106,0.0041829080627508,34.6731845276382,-0.345507998948895,-6.8184410768794,66.7236180904523,1835.59507688442,-5781.12363364824
1319,1318,0.0038698585,0.00414025880427772,34.3239984029851,-0.850801329850746,-7.4317926,67.636815920398,1835.60217080597,-5781.11532961194
1320,1319,0.00383196316666667,0.00411187360040662,33.9143834170854,-1.71182044028643,-6.56158020568342,68.1256281407035,1835.60944296482,-5781.10708649246
1321,1320,0.003710378,0.00410021047680709,33.0829224825871,-2.5769046860199,-3.61161393997015,69,1835.61681573134,-5781.09885540299
1322,1321,0.00375788725,0.00411198818426676,32.9221060301508,-3.17248381959799,-6.14784216130653,69,1835.62419898492,-5781.09059288442
