"","ticker","tic","gvkey"
"333","TYL","TYL",10789
"334","CAG","CAG",3362
"335","DGX","DGX",64166
"336","TER","TER",10453
"337","KMX","KMX",64410
"338","DRI","DRI",31846
"339","NTAP","NTAP",61591
"340","COO","COO",3504
"341","FDS","FDS",63172
"342","STX","STX",150937
"343","AVY","AVY",1913
"344","IP","IP",6104
"345","IEX","IEX",15267
"346","EXPE","EXPE",126296
"347","PFG","PFG",145701
"348","EVRG","EVRG",6338
"349","AKAM","AKAM",125595
"350","WDC","WDC",11399
"351","LNT","LNT",11554
"352","BBY","BBY",2184
"353","JKHY","JKHY",11811
"354","TECH","TECH",15414
"355","JBHT","JBHT",5783
"356","LKQ","LKQ",155394
"357","PARA","PARA",13714
"358","AES","AES",24216
"359","PEAK","PEAK",13125
"360","BRO","BRO",15417
"361","CPT","CPT",28629
"362","GRMN","GRMN",141459
"363","SJM","SJM",9777
"364","OMC","OMC",4066
"365","DPZ","DPZ",160211
"366","POOL","POOL",61420
"367","NLOK","NLOK",15855
"368","CHRW","CHRW",65609
"369","VFC","VFC",11060
"370","TXT","TXT",10519
"371","SWK","SWK",10016
"372","CINF","CINF",14824
"373","LDOS","LDOS",165123
"374","IRM","IRM",62374
"375","HRL","HRL",5709
"376","UDR","UDR",10894
"377","FMC","FMC",4510
"378","INCY","INCY",29127
"379","BF.B","BF.B",2435
"380","ABMD","ABMD",13619
"381","KIM","KIM",24731
"382","NVR","NVR",12459
"383","LVS","LVS",161844
"384","PKG","PKG",128978
"385","LYV","LYV",165746
"386","WRB","WRB",14822
"387","MAS","MAS",7085
"388","PTC","PTC",18699
"389","CTXS","CTXS",61676
"390","CBOE","CBOE",184500
"391","BXP","BXP",64925
"392","NDSN","NDSN",7921
"393","NI","NI",7974
"394","HST","HST",7063
"395","CRL","CRL",137131
"396","APA","APA",1678
"397","AAP","AAP",145977
"398","CE","CE",162254
"399","EMN","EMN",29392
"400","SNA","SNA",9778
"401","UAL","UAL",10795
"402","BIO","BIO",2220
"403","MGM","MGM",14418
"404","VTRS","VTRS",7637
"405","TFX","TFX",10407
"406","SBNY","SBNY",160776
"407","IPG","IPG",6136
"408","QRVO","QRVO",64853
"409","WRK","WRK",29830
"410","L","L",6781
"411","HSIC","HSIC",61494
"412","MKTX","MKTX",158742
"413","CMA","CMA",3231
"414","TAP","TAP",3505
"415","HAS","HAS",5518
"416","CPB","CPB",2663
"417","PHM","PHM",8823
"418","RE","RE",61388
"419","FFIV","FFIV",121077
