,Time,pp,pp_nr5,Accelerator,Brake,Steering,Speed,IN_Lat,IN_Long
450,449,0.004140662,0.00434688254349175,21.1815489748744,34.9107253869347,-11.5102319346734,0,1837.520454,-5780.243574
451,450,0.00414252257142857,0.00431383470392956,21.1752211542289,35.4222185621891,-11.6113817711443,0,1837.52045710448,-5780.243574
452,451,0.00448724116666667,0.00428805682131397,21.1728732763819,36.7406603819095,-11.7431257939698,0,1837.52046,-5780.243574
453,452,0.00451565228571429,0.00426669710648841,28.8360107761194,-2.48637616031343,-11.7952758487562,0,1837.5204959403,-5780.2435379403
454,453,0.00417656,0.00424602192909823,40.8709138241206,-4.16783074974874,-13.100307480402,0.135678391959799,1837.52081035176,-5780.24319895477
455,454,0.00432635458333333,0.00426964391694654,42.979021278607,-3.17720327223881,-5.20465700541657,4.90049751243781,1837.52180286567,-5780.24211486567
456,455,0.00461369925,0.00428330880692178,44.7072418743719,1.64196100875879,-11.4959795201005,12.0452261306533,1837.52352759799,-5780.24020658291
457,456,0.00449982828571429,0.004258172588461,48.3447447114428,3.77274286905473,-13.477630343393,19.1791044776119,1837.52580358209,-5780.2376658806
458,457,0.00450386875,0.00422459744806063,50.1599271557789,0.0465180319874372,-12.2903297723618,23.0150753768844,1837.5286058593,-5780.23455901508
459,458,0.00408316614285714,0.00417795849118519,49.7208127512438,-1.53778400014925,-13.3247129581592,28.2537313432836,1837.53196259701,-5780.23086041791
460,459,0.0040267511875,0.00412673320595282,50.4369560351759,0.238422039047236,-11.3949267681407,35.1155778894472,1837.53583742714,-5780.22657331658
461,460,0.00378317714285714,0.00408022233957219,50.7499415373134,0.186100450420776,-13.4909528527363,39.7363184079602,1837.54021558209,-5780.22171877612
462,461,0.00437979692307692,0.00405621520963035,50.2531199547739,-0.358080635532161,-14.5860590638191,43.8341708542714,1837.54509337688,-5780.21631910553
463,462,0.00385507646153846,0.00401415269527933,49.4205263681592,1.33597558108955,-8.54897573711692,48.1641791044776,1837.55040749254,-5780.21045101493
464,463,0.0039223445,0.00398026950031578,50.9920357437186,0.0618831593060302,-11.1465158276382,52.2964824120603,1837.55609517588,-5780.20416443216
465,464,0.00357857435714286,0.00395952185599522,50.673817960199,-0.511978427233831,-13.9240610790547,54.6119402985075,1837.5621761194,-5780.19744098507
466,465,0.003741952125,0.00395422330136172,49.1781530100503,0.413543327317588,-15.4685286145729,58.929648241206,1837.56865314573,-5780.19028130653
