,ticker,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
56,BAX,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,NA
57,BBWI,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,6733,NA
58,BBY,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,NA
59,BDX,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,NA
60,BEN,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,NA
61,BF.B,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,NA
62,BIIB,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,24468,NA
63,BIO,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,NA
64,BK,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,NA
65,BKNG,NA,NA,NA,NA,NA,NA,NA,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,119314,NA
